candidate_id,rank,score,reasoning
CAND_0086022,1,0.8474,"5.3 years experience. Relevant skills: Fine-tuning LLMs, PyTorch, TensorFlow, NLP. Recruiter response rate 0.55 and interview completion rate 0.68."
CAND_0011687,2,0.8236,"7.8 years experience. Relevant skills: TensorFlow, Feature Engineering, PyTorch. Recruiter response rate 0.89 and interview completion rate 0.77."
CAND_0045862,3,0.79745,"6.7 years experience. Relevant skills: NLP, Feature Engineering, BentoML, Fine-tuning LLMs. Recruiter response rate 0.54 and interview completion rate 0.71."
CAND_0037566,4,0.7807499999999999,"6.9 years experience. Relevant skills: NLP, LoRA, Feature Engineering, TensorFlow. Recruiter response rate 0.50 and interview completion rate 0.84."
CAND_0029367,5,0.7795,"5.7 years experience. Relevant skills: BentoML, TensorFlow, NLP, PyTorch. Recruiter response rate 0.77 and interview completion rate 0.58."
CAND_0077285,6,0.7649,"5.5 years experience. Relevant skills: LoRA, Fine-tuning LLMs, Milvus, NLP. Recruiter response rate 0.56 and interview completion rate 0.67."
CAND_0037980,7,0.7617999999999999,"9.0 years experience. Relevant skills: LoRA, PyTorch, NLP, BentoML. Recruiter response rate 0.63 and interview completion rate 0.89."
CAND_0018499,8,0.7606499999999999,7.2 years experience. Relevant skills: Milvus. Recruiter response rate 0.61 and interview completion rate 0.80.
CAND_0060072,9,0.7601,"5.7 years experience. Relevant skills: PyTorch, Feature Engineering, Milvus, Fine-tuning LLMs. Recruiter response rate 0.10 and interview completion rate 0.99."
CAND_0002025,10,0.75635,"5.9 years experience. Relevant skills: TensorFlow, NLP, Fine-tuning LLMs. Recruiter response rate 0.80 and interview completion rate 0.81."
CAND_0041610,11,0.754,"6.7 years experience. Relevant skills: LoRA, Feature Engineering, PyTorch. Recruiter response rate 0.52 and interview completion rate 0.80."
CAND_0088025,12,0.75195,"8.6 years experience. Relevant skills: TensorFlow, LoRA, NLP. Recruiter response rate 0.83 and interview completion rate 0.95."
CAND_0077956,13,0.75085,"6.4 years experience. Relevant skills: Milvus, BentoML, Feature Engineering, TensorFlow. Recruiter response rate 0.88 and interview completion rate 1.00."
CAND_0070398,14,0.74945,"7.2 years experience. Relevant skills: PyTorch, LoRA, Fine-tuning LLMs. Recruiter response rate 0.60 and interview completion rate 0.64."
CAND_0049538,15,0.7461,"5.8 years experience. Relevant skills: Feature Engineering, Milvus, PyTorch. Recruiter response rate 0.72 and interview completion rate 0.67."
CAND_0074339,16,0.7454500000000001,"5.3 years experience. Relevant skills: PyTorch, BentoML, Feature Engineering, LoRA. Recruiter response rate 0.58 and interview completion rate 0.81."
CAND_0086151,17,0.7442,"7.7 years experience. Relevant skills: BentoML, LoRA, Feature Engineering. Recruiter response rate 0.52 and interview completion rate 0.60."
CAND_0001930,18,0.7438,"6.9 years experience. Relevant skills: NLP, BentoML, Milvus, Fine-tuning LLMs. Recruiter response rate 0.65 and interview completion rate 0.95."
CAND_0073314,19,0.74185,"5.2 years experience. Relevant skills: BentoML, Feature Engineering, Milvus, PyTorch. Recruiter response rate 0.84 and interview completion rate 0.55."
CAND_0033385,20,0.74015,"6.0 years experience. Relevant skills: Feature Engineering, Fine-tuning LLMs. Recruiter response rate 0.65 and interview completion rate 0.77."
CAND_0078002,21,0.73945,"6.3 years experience. Relevant skills: TensorFlow, NLP, BentoML. Recruiter response rate 0.86 and interview completion rate 0.86."
CAND_0007567,22,0.7382,"6.1 years experience. Relevant skills: Fine-tuning LLMs, NLP, PyTorch, Feature Engineering. Recruiter response rate 0.80 and interview completion rate 0.81."
CAND_0027663,23,0.7378,"5.3 years experience. Relevant skills: PyTorch, NLP, BentoML, Milvus. Recruiter response rate 0.44 and interview completion rate 0.89."
CAND_0007460,24,0.73395,"4.7 years experience. Relevant skills: BentoML, LoRA, NLP. Recruiter response rate 0.48 and interview completion rate 0.67."
CAND_0049978,25,0.7315,"6.6 years experience. Relevant skills: LoRA, BentoML, PyTorch. Recruiter response rate 0.71 and interview completion rate 0.65."
CAND_0039838,26,0.72975,"4.9 years experience. Relevant skills: LoRA, Milvus, Fine-tuning LLMs. Recruiter response rate 0.80 and interview completion rate 0.95."
CAND_0026913,27,0.7287999999999999,"3.9 years experience. Relevant skills: TensorFlow, Fine-tuning LLMs, NLP, Feature Engineering. Recruiter response rate 0.87 and interview completion rate 0.73."
CAND_0069905,28,0.72795,"6.6 years experience. Relevant skills: LoRA, TensorFlow. Recruiter response rate 0.78 and interview completion rate 0.93."
CAND_0074731,29,0.7247,"6.6 years experience. Relevant skills: PyTorch, TensorFlow, LoRA. Recruiter response rate 0.58 and interview completion rate 0.81."
CAND_0029439,30,0.7242,"6.4 years experience. Relevant skills: Feature Engineering, NLP, Fine-tuning LLMs, BentoML. Recruiter response rate 0.60 and interview completion rate 0.96."
CAND_0074735,31,0.7228,"5.5 years experience. Relevant skills: BentoML, TensorFlow. Recruiter response rate 0.77 and interview completion rate 0.78."
